CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country
1,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany
2,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,05021,Mexico
3,Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,05023,Mexico
4,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK
5,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden
6,Blauer See,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany
7,Bon app',Laurence Lebihan,12 rue des Bouchers,Marseille,13008,France
8,Bottom-Dollar Markets,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada
9,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 4NR,UK
10,Cactus Comidas para llevar,Patricio Simpson,Cerrito 333,Buenos Aires,1010,Argentina
11,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,Cancun,05022,Mexico
12,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland